subscriberId,operationalState,Status,RTN CoPol C/N,RTN Cross-Pol C/N,RTN Co/Cross-Pol Delta,FWD Rx Es/N0,IB Threshold,OB Threshold,Start Date,Start Time,End Date,End Time,Attenuator P1 dB
29933,Unknown,0,0,0,0,0,0,0
29934,Unknown,0,0,0,0,0,0,0
29935,Unknown,0,0,0,0,0,0,0
29936,Unknown,0,0,0,0,0,0,0
29937,Unknown,0,0,0,0,0,0,0
29938,Unknown,0,0,0,0,0,0,0
29939,Unknown,0,0,0,0,0,0,0
29940,Unknown,0,0,0,0,0,0,0
29941,Unknown,0,0,0,0,0,0,0
29942,Unknown,0,0,0,0,0,0,0
29943,Offline,MEASUREMENT_PASSED,61.3 dB,35.2 dB,26.1 dB,15.8 dB,-16.5 dB,14.0 dB,20/07/2017,15:06:40,20/07/2017,15:08:30,0
29944,Unknown,0,0,0,0,0,0,0
29945,Unknown,0,0,0,0,0,0,0
29946,Unknown,0,0,0,0,0,0,0
29947,Unknown,0,0,0,0,0,0,0
29948,Offline,MEASUREMENT_PASSED,60.4 dB,35.1 dB,25.3 dB,15.8 dB,-16.5 dB,14.0 dB,20/07/2017,08:21:01,20/07/2017,08:22:41,0
29949,Online,MEASUREMENT_PASSED,60.4 dB,31.3 dB,29.1 dB,15.7 dB,-16.5 dB,14.0 dB,20/07/2017,08:02:19,20/07/2017,08:06:06,0
40003,Unknown,0,0,0,0,0,0,0
40007,Online,TIMED_OUT,33.0 dB,7.5 dB,25.5 dB,16.4 dB,-16.5 dB,14.0 dB,18/07/2017,15:01:54,18/07/2017,15:03:04,0
